name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link,x,y
Kansk,Kansk,1976/01/01,Town in Russia.,33.351199999999999,342.734100000000012,-20.524500000000000,"Crater, craters",AA,Adopted by IAU,342.439900000000023,343.040700000000015,-20.806100000000001,-20.243500000000001,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2918,-17.2659000,-20.5245000
Kantang,Kantang,1976/01/01,Town in Thailand.,52.436900000000001,342.423999999999978,-24.440600000000000,"Crater, craters",AA,Adopted by IAU,341.944500000000005,342.916200000000003,-24.883299999999998,-23.998699999999999,Thailand,Asia,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2920,-17.5760000,-24.4406000
Karpinsk,Karpinsk,1976/01/01,Town in Russia.,28.843000000000000,327.849899999999991,-45.573099999999997,"Crater, craters",AA,Adopted by IAU,327.500099999999975,328.195400000000006,-45.813200000000002,-45.326599999999999,Russia,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2933,-32.1501000,-45.5731000
Karshi,Karshi,1976/01/01,town in Uzbekistan.,21.518799999999999,340.679599999999994,-23.277500000000000,"Crater, craters",AA,Adopted by IAU,340.483200000000011,340.878300000000024,-23.453299999999999,-23.090199999999999,Uzbekistan,Asia,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2937,-19.3204000,-23.2775000
Kartabo,Kartabo,1976/01/01,Town in Guyana.,19.411000000000001,307.543400000000020,-40.848599999999998,"Crater, craters",AA,Adopted by IAU,307.333799999999997,307.766700000000014,-41.013100000000001,-40.685600000000001,Guyana,South and Central America,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2938,-52.4566000,-40.8486000
Kasabi,Kasabi,1991/01/01,Town in Zambia.,41.091400000000000,89.058800000000005,-27.771500000000000,"Crater, craters",AA,Adopted by IAU,88.668800000000005,89.452299999999994,-28.118600000000001,-27.425300000000000,Zambia,Africa,Iapygia,mc21,http://planetarynames.wr.usgs.gov/Feature/2941,89.0588000,-27.7715000
Kashira,Kashira,1976/01/01,Town in Russia.,65.797399999999996,341.693300000000022,-27.087000000000000,"Crater, craters",AA,Adopted by IAU,341.076300000000003,342.323100000000011,-27.642499999999998,-26.532399999999999,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2943,-18.3067000,-27.0870000
Kasimov,Kasimov,1976/01/01,Town in Russia.,87.181799999999996,337.060200000000009,-24.629999999999999,"Crater, craters",AA,Adopted by IAU,336.257400000000018,337.875499999999988,-25.365800000000000,-23.895000000000000,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/2944,-22.9398000,-24.6300000
Kasra,Kasra,1988/01/01,Town in Tunisia.,3.457030000000000,103.631600000000006,21.975600000000000,"Crater, craters",AA,Adopted by IAU,103.600300000000004,103.663200000000003,21.946800000000000,22.005099999999999,Tunisia,Africa,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/2947,103.6316000,21.9756000
Katoomba,Katoomba,2006/01/01,Town in Australia.,51.235700000000001,127.808999999999997,-79.010900000000007,"Crater, craters",AA,Adopted by IAU,125.541200000000003,130.076699999999988,-79.443100000000001,-78.578699999999998,Australia,Oceania,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/2958,127.8090000,-79.0109000
Kaup,Kaup,1976/01/01,Town in New Guinea.,3.205920000000000,326.836500000000001,22.634899999999998,"Crater, craters",AA,Adopted by IAU,326.807000000000016,326.865599999999972,22.607700000000001,22.661799999999999,New Guinea,Oceania,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/2964,-33.1635000,22.6349000
Kaw,Kaw,1976/01/01,Town in French Guiana.,10.717499999999999,104.281899999999993,16.401599999999998,"Crater, craters",AA,Adopted by IAU,104.187700000000007,104.376099999999994,16.311299999999999,16.492100000000001,French Guiana,South and Central America,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/2967,104.2819000,16.4016000
Kayne,Kayne,1997/01/01,Town in Botswana.,33.821800000000003,173.559599999999989,-15.495100000000001,"Crater, craters",AA,Adopted by IAU,173.266600000000011,173.858699999999999,-15.780700000000000,-15.210100000000001,Botswana,Africa,Aeolis,mc23,http://planetarynames.wr.usgs.gov/Feature/2972,173.5596000,-15.4951000
Keeler,Keeler,1973/01/01,"James E.; American astronomer (1857-1900).",90.190299999999993,208.755400000000009,-60.691800000000001,"Crater, craters",AA,Adopted by IAU,207.206899999999990,210.318399999999997,-61.453600000000002,-59.932099999999998,American,North America,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/2977,-151.2446000,-60.6918000
Kem',Kem,1976/01/01,Town in Russia.,3.623320000000000,327.033500000000004,-44.936199999999999,"Crater, craters",AA,Adopted by IAU,326.990299999999991,327.076700000000017,-44.966799999999999,-44.905600000000000,Russia,Europe,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/2986,-32.9665000,-44.9362000
Kepler,Kepler,1973/01/01,"Johannes; German astronomer (1571-1630).",228.235000000000014,140.979800000000012,-46.693800000000003,"Crater, craters",AA,Adopted by IAU,138.172300000000007,143.787299999999988,-48.619399999999999,-44.768300000000004,Germany,Europe,Eridania,mc29,http://planetarynames.wr.usgs.gov/Feature/2991,140.9798000,-46.6938000
Keul',Keul,1979/01/01,Town in Russia.,5.805690000000000,122.225399999999993,45.988599999999998,"Crater, craters",AA,Adopted by IAU,122.157899999999998,122.298900000000003,45.940399999999997,46.038400000000003,Russia,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/2995,122.2254000,45.9886000
Khanpur,Khanpur,1988/01/01,Town in Pakistan.,2.679270000000000,102.002600000000001,20.729399999999998,"Crater, craters",AA,Adopted by IAU,101.978499999999997,102.026799999999994,20.706800000000001,20.751999999999999,Pakistan,Asia,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/3004,102.0026000,20.7294000
Kholm,Kholm,1976/01/01,Town in Russia.,11.078700000000000,317.995099999999979,-7.207400000000000,"Crater, craters",AA,Adopted by IAU,317.901499999999999,318.089900000000000,-7.296100000000000,-7.109200000000000,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3011,-42.0049000,-7.2074000
Khurli,Khurli,1991/01/01,Town in Pakistan.,8.780900000000003,112.958299999999994,-20.944299999999998,"Crater, craters",AA,Adopted by IAU,112.881000000000000,113.039599999999993,-21.018699999999999,-20.870500000000000,Pakistan,Asia,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/3017,112.9583000,-20.9443000
Kifrī,Kifri,1976/01/01,Town in Iraq.,13.892500000000000,305.691599999999994,-45.639200000000002,"Crater, craters",AA,Adopted by IAU,305.531400000000019,305.866699999999980,-45.757100000000001,-45.522799999999997,Iraq,Asia,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3027,-54.3084000,-45.6392000
Kimry,Kimry,1976/01/01,Town in Russia.,20.643500000000000,343.676699999999983,-20.143300000000000,"Crater, craters",AA,Adopted by IAU,343.497400000000027,343.868299999999977,-20.317799999999998,-19.969500000000000,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3031,-16.3233000,-20.1433000
Kin,Kin,1976/01/01,Town in Japan.,8.096800000000000,326.618400000000008,20.199600000000000,"Crater, craters",AA,Adopted by IAU,326.546699999999987,326.692299999999989,20.130400000000002,20.266999999999999,Japan,Asia,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3034,-33.3816000,20.1996000
Kinda,Kinda,1991/01/01,Town in Zaire.,14.041499999999999,254.848800000000011,-25.687999999999999,"Crater, craters",AA,Adopted by IAU,254.717000000000013,254.979899999999986,-25.806899999999999,-25.570000000000000,Zaire,Africa,Phoenicis Lacus,mc17,http://planetarynames.wr.usgs.gov/Feature/3036,-105.1512000,-25.6880000
Kinkora,Kinkora,1991/01/01,"Town in Prince Edward Island, Canada.",51.087699999999998,112.876000000000005,-24.949000000000002,"Crater, craters",AA,Adopted by IAU,112.402799999999999,113.353399999999993,-25.380400000000002,-24.518500000000000,Canada,North America,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/3042,112.8760000,-24.9490000
Kipini,Kipini,1976/01/01,Town in Kenya.,67.257099999999994,328.435400000000016,25.858200000000000,"Crater, craters",AA,Adopted by IAU,327.811100000000010,329.072000000000003,25.291300000000000,26.425999999999998,Kenya,Africa,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3044,-31.5646000,25.8582000
Kirs,Kirs,1976/01/01,Town in Russia.,3.461080000000000,340.556500000000028,-26.305399999999999,"Crater, craters",AA,Adopted by IAU,340.523900000000026,340.589099999999974,-26.334599999999998,-26.276199999999999,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3051,-19.4435000,-26.3054000
Kirsanov,Kirsanov,1976/01/01,Town in Russia.,15.077900000000000,334.878199999999993,-22.201100000000000,"Crater, craters",AA,Adopted by IAU,334.742099999999994,335.016799999999989,-22.326200000000000,-22.071800000000000,Russia,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3052,-25.1218000,-22.2011000
Kisambo,Kisambo,1991/01/01,Town in Zaire.,15.223400000000000,271.078399999999988,34.074700000000000,"Crater, craters",AA,Adopted by IAU,270.923099999999977,271.233200000000011,33.946800000000003,34.203600000000002,Zaire,Africa,Arcadia,mc03,http://planetarynames.wr.usgs.gov/Feature/3053,-88.9216000,34.0747000
Kita,Kita,1976/01/01,Town in Mali.,10.715600000000000,342.816899999999976,-22.779499999999999,"Crater, craters",AA,Adopted by IAU,342.721299999999985,342.912500000000023,-22.856300000000001,-22.702700000000000,Mali,Africa,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3056,-17.1831000,-22.7795000
Knobel,Knobel,1973/01/01,"Edward B.; British astronomer (1841-1930).",123.308000000000007,133.310000000000002,-6.573900000000000,"Crater, craters",AA,Adopted by IAU,132.265199999999993,134.359299999999990,-7.614200000000000,-5.533900000000000,Great Britain,Europe,Mare Tyrrhenum,mc22,http://planetarynames.wr.usgs.gov/Feature/3066,133.3100000,-6.5739000
Koga,Koga,1991/01/01,Town in Tanzania.,19.172100000000000,256.240700000000004,-28.962299999999999,"Crater, craters",AA,Adopted by IAU,256.060799999999972,256.430499999999995,-29.124500000000001,-28.800999999999998,Tanzania,Africa,Phoenicis Lacus,mc17,http://planetarynames.wr.usgs.gov/Feature/3070,-103.7593000,-28.9623000
Kok,Kok,1976/01/01,Town in Malaysia (Sarawak).,6.134870000000000,331.932399999999973,15.647100000000000,"Crater, craters",AA,Adopted by IAU,331.878600000000006,331.986100000000022,15.595300000000000,15.698800000000000,Malaysia,Asia,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3075,-28.0676000,15.6471000
Kong,Kong,1976/01/01,Town in Ivory Coast.,11.663900000000000,321.428999999999974,-5.361700000000000,"Crater, craters",AA,Adopted by IAU,321.328700000000026,321.526299999999992,-5.458200000000000,-5.261400000000000,Ivory Coast,Africa,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3084,-38.5710000,-5.3617000
Korolev,Korolev,1973/01/01,"Sergey Pavlovich; Russian engineer (1906-1966).",81.368799999999993,164.584000000000003,72.767700000000005,"Crater, craters",AA,Adopted by IAU,162.266600000000011,166.901499999999999,72.081299999999999,73.454099999999997,Russia,Europe,Mare Boreum,mc01,http://planetarynames.wr.usgs.gov/Feature/3091,164.5840000,72.7677000
Korph,Korph,1988/01/01,Town in Russia.,7.331250000000000,105.450599999999994,19.342300000000002,"Crater, craters",AA,Adopted by IAU,105.383799999999994,105.514899999999997,19.280799999999999,19.404499999999999,Russia,Europe,Amenthes,mc14,http://planetarynames.wr.usgs.gov/Feature/3092,105.4506000,19.3423000
Kourou,Kourou,1979/01/01,French Guianan launch site.,1.843920000000000,132.782199999999989,46.730699999999999,"Crater, craters",AA,Adopted by IAU,132.760899999999992,132.806299999999993,46.715899999999998,46.747000000000000,French Guiana,South and Central America,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3102,132.7822000,46.7307000
Koval'sky,Koval sky,1985/01/01,"M. A.; Russian astronomer (1821-1884).",296.665999999999997,218.459100000000007,-29.560099999999998,"Crater, craters",AA,Adopted by IAU,215.570899999999995,221.329100000000011,-32.063000000000002,-27.058199999999999,Russia,Europe,Memnonia,mc16,http://planetarynames.wr.usgs.gov/Feature/3106,-141.5409000,-29.5601000
Koy,Koy,1988/01/01,Town in Russia.,7.118120000000000,309.593200000000024,21.465599999999998,"Crater, craters",AA,Adopted by IAU,309.528700000000015,309.657699999999977,21.406500000000001,21.526499999999999,Russia,Europe,Lunae Palus,mc10,http://planetarynames.wr.usgs.gov/Feature/3107,-50.4068000,21.4656000
Krasnoye,Krasnoye,1991/01/01,Town in Russia.,6.545650000000000,143.838200000000001,35.853400000000001,"Crater, craters",AA,Adopted by IAU,143.773099999999999,143.909300000000002,35.798800000000000,35.909199999999998,Russia,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3116,143.8382000,35.8534000
Kribi,Kribi,1976/01/01,Town in the United Republic of Cameroon.,13.180500000000000,316.488499999999988,-42.996400000000001,"Crater, craters",AA,Adopted by IAU,316.343799999999987,316.647800000000018,-43.108300000000000,-42.886000000000003,Cameroon,Africa,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3119,-43.5115000,-42.9964000
Krishtofovich,Krishtofovich,1982/01/01,"Afrikan Nikolaevich; Soviet paleobotanist (1885-1953).",111.088999999999999,97.344300000000004,-48.086399999999998,"Crater, craters",AA,Adopted by IAU,95.946399999999997,98.752099999999999,-49.031700000000001,-47.157499999999999,Soviet,Europe,Hellas,mc28,http://planetarynames.wr.usgs.gov/Feature/3122,97.3443000,-48.0864000
